time_sec,dominant_frequency_hz,mean_db_all_band,mean_db_80_300hz
1.2586666666666666,726.5625,-31.403397,-18.35902
1.2693333333333334,984.375,-31.455881,-20.41102
1.28,984.375,-31.517202,-19.70204
1.2906666666666666,773.4375,-31.71239,-19.49647
1.3013333333333332,750.0,-31.677212,-16.212471
1.312,726.5625,-31.76436,-19.276823
1.3226666666666667,703.125,-31.97046,-21.98695
1.3333333333333333,937.5,-31.966702,-17.584631
1.344,914.0625,-32.040154,-17.877562
1.3546666666666667,703.125,-32.160465,-19.70164
1.3653333333333333,820.3125,-32.02869,-19.688486
1.376,820.3125,-32.133583,-20.4581
1.3866666666666667,960.9375,-32.508293,-22.127102
1.3973333333333333,703.125,-32.744785,-21.759857
1.408,703.125,-32.87607,-18.430717
1.4186666666666667,703.125,-33.03028,-21.802853
1.4293333333333333,960.9375,-33.1018,-24.2506
1.44,937.5,-33.116486,-20.973696
1.4506666666666668,937.5,-33.20596,-21.10982
1.4613333333333334,960.9375,-33.239323,-21.228638
1.472,750.0,-33.39352,-21.966944
1.4826666666666666,960.9375,-33.610558,-21.084612
1.4933333333333334,960.9375,-33.643665,-21.54292
1.504,960.9375,-33.69698,-21.78197
1.5146666666666666,937.5,-33.877644,-26.95679
1.5253333333333334,984.375,-33.851624,-23.89307
1.536,960.9375,-33.956104,-23.231422
1.5466666666666666,960.9375,-33.999905,-25.34894
1.5573333333333332,984.375,-34.059147,-29.722805
1.568,984.375,-34.079098,-29.52161
1.5786666666666667,984.375,-34.196693,-29.133049
1.5893333333333333,937.5,-34.186806,-28.208693
1.6,937.5,-34.210827,-29.68419
1.6106666666666667,937.5,-34.197598,-29.826515
1.6213333333333333,937.5,-34.22362,-29.097466
1.632,984.375,-34.253918,-26.7211
1.6426666666666667,960.9375,-34.31065,-25.325178
1.6533333333333333,984.375,-34.37647,-28.550606
1.664,984.375,-34.41664,-30.153307
1.6746666666666667,960.9375,-34.44806,-29.471004
1.6853333333333333,984.375,-34.447815,-28.417303
1.696,960.9375,-34.51418,-31.510353
1.7066666666666668,937.5,-34.542446,-31.695883
1.7173333333333334,984.375,-34.524338,-30.421482
1.728,960.9375,-34.52859,-29.508
1.7386666666666666,960.9375,-34.51936,-30.29064
1.7493333333333334,960.9375,-34.478836,-31.307442
1.76,1007.8125,-34.3554,-30.085762
1.7706666666666666,1007.8125,-34.439045,-29.823822
1.7813333333333334,1007.8125,-34.594593,-32.19454
1.792,1031.25,-34.614357,-34.04796
1.8026666666666666,1031.25,-34.552433,-34.3596
1.8133333333333332,1054.6875,-34.620583,-33.938984
1.824,960.9375,-34.61741,-33.30481
1.8346666666666667,937.5,-34.630547,-32.883198
1.8453333333333333,1054.6875,-34.671375,-32.141552
1.856,1007.8125,-34.664124,-33.388046
1.8666666666666667,1007.8125,-34.656612,-31.571774
1.8773333333333333,1031.25,-34.67484,-30.845097
1.888,1031.25,-34.77214,-31.643229
1.8986666666666667,1031.25,-34.706173,-31.870989
1.9093333333333333,960.9375,-34.738438,-33.075855
1.92,960.9375,-34.74775,-33.232914
1.9306666666666668,984.375,-34.747402,-30.172132
1.9413333333333334,984.375,-34.769344,-28.698814
1.952,796.875,-34.780514,-31.015648
1.9626666666666666,937.5,-34.818203,-32.51416
1.9733333333333334,937.5,-34.828804,-33.121906
1.984,960.9375,-34.7951,-33.71033
1.9946666666666666,984.375,-34.886845,-34.97226
2.005333333333333,984.375,-34.92202,-34.742283
2.016,984.375,-34.89247,-32.665726
2.026666666666667,1007.8125,-34.935356,-30.236769
2.037333333333333,1007.8125,-34.979332,-28.546726
2.048,117.1875,-34.9935,-23.431923
2.058666666666667,117.1875,-35.049366,-24.53966
2.0693333333333332,117.1875,-35.066807,-23.859097
2.08,140.625,-35.117115,-28.264267
2.0906666666666665,117.1875,-35.087543,-26.099243
2.1013333333333333,93.75,-35.11079,-28.925568
2.112,93.75,-35.131485,-29.236843
2.1226666666666665,70.3125,-35.195343,-34.520367
2.1333333333333333,0.0,-35.204487,-35.206882
2.144,0.0,-35.202297,-35.206882
2.1546666666666665,0.0,-35.196587,-35.206882
2.1653333333333333,0.0,-35.19473,-35.206882
2.176,0.0,-35.196953,-35.206882
2.1866666666666665,0.0,-35.20099,-35.206882
2.1973333333333334,0.0,-35.20151,-35.206882
2.208,0.0,-35.200424,-35.206882
2.2186666666666666,0.0,-35.19824,-35.086533
2.2293333333333334,984.375,-35.167675,-35.112957
2.24,984.375,-35.004036,-28.373148
2.2506666666666666,984.375,-34.86853,-25.366764
2.2613333333333334,960.9375,-34.883087,-29.53769
2.272,984.375,-34.778683,-31.449364
