frequency_hz,amplitude,power
136.06965174129354,3522.2808,1.2406462e+07
135.44776119402988,3451.5068,1.1912899e+07
135.07462686567166,3121.4377,9.743374e+06
134.8258706467662,3084.3008,9.512911e+06
135.32338308457713,3053.0693,9.321232e+06
134.70149253731344,2992.966,8.957846e+06
136.1940298507463,2866.5732,8.217242e+06
135.82089552238807,2788.9917,7.7784745e+06
135.69651741293535,2755.9448,7.595232e+06
136.318407960199,2726.806,7.4354705e+06
