time_sec,filtered_amplitude
0.0,-0.004703250804995777
0.004,0.0014178031840401475
0.008,0.01001739919733024
0.012,-0.016356480739187162
0.016,-0.003961699214837041
0.02,0.04626371636018298
0.024,-0.1839379072830716
0.028,0.1856946760068013
0.032,0.054907104285228055
0.036,-0.11217222481257624
0.04,0.10791949831337849
0.044,-0.1382691349508054
0.048,0.24613632133465338
0.052,-0.20452686603684128
0.056,0.049505671347417055
0.06,-0.09159488832104594
0.064,0.0910426656821917
0.068,0.1409958548411106
0.072,-0.1672777013452985
0.076,0.06900590228726311
0.08,-0.07247129979794817
0.084,0.19816918068429926
0.088,-0.13096938091260008
0.092,0.13108023976749625
0.096,-0.16641381420033582
0.1,0.05204861715850003
0.104,-0.17551541734219026
0.108,0.24486970170953917
0.112,-0.11159187451117995
0.116,0.08770436285717101
0.12,-0.30206457670587955
0.124,0.2835610241906218
0.128,-0.16430464469787373
0.132,0.13363926295343923
0.136,-0.2972470102596484
0.14,0.21294894135210607
0.144,-0.13140671872926293
0.148,0.14643403874553357
0.152,-0.26658737141479044
0.156,0.2547015640069514
0.16,-0.1007654312836095
0.164,0.0911388021831138
0.168,-0.34665939067411305
0.172,0.22758833479574253
0.176,-0.05431806775264018
0.18,0.12632429975318316
0.184,-0.222324181675496
0.188,-0.1119304014048159
0.192,0.14994082702987932
0.196,-0.03778873125838418
0.2,0.017468935929332536
0.204,-0.23021296164338462
0.208,0.2006960132495698
0.212,-0.10658419262512768
0.216,0.13931782801681333
0.22,-0.31080857729990324
0.224,0.26586842440697284
0.228,-0.17539875231889107
0.232,0.18910323666417791
0.236,-0.2506071600035309
0.24,0.22917407985159294
0.244,-0.15229202927292834
0.248,0.18990231527224066
0.252,-0.3203998972823221
0.256,0.2115419325684129
0.26,-0.1413476272675073
0.264,0.26053575951676033
0.268,-0.29135208774259763
0.272,0.10291191838977888
0.276,-0.10325730503827368
0.28,0.19440772063839368
0.284,-0.10940089281406444
0.288,0.01696187056915031
0.292,-0.02725954370507335
0.296,0.08532872075815658
0.3,0.04292557019005852
0.304,-0.10637084014416892
0.308,0.049460557597472046
0.312,-0.06485032006959117
0.316,0.2138990928193507
0.32,-0.20323564315973772
0.324,0.11436011929063274
0.328,-0.15348870905193726
0.332,0.24738471087833408
0.336,-0.18964745055598314
0.34,0.17698998524146772
0.344,-0.2722791263787834
0.348,0.19747002259608976
0.352,-0.056866283601201946
0.356,0.07600551384117551
0.36,-0.06908116782403506
0.364,-0.07439280816443891
0.368,0.132280051822844
0.372,-0.07412728821812849
0.376,0.13883676036238277
0.38,-0.21362241837092744
0.384,0.1261564044529405
0.388,-0.13853863161550703
0.392,0.23633215002259275
0.396,-0.20614346777911363
0.4,0.127400179580379
0.404,-0.1699223861477974
0.408,0.19145988990504353
0.412,-0.08258087433820875
0.416,0.049300960040900475
0.42,-0.09400920555225381
0.424,0.07021186990123143
0.428,0.016017346406371192
0.432,0.005773873743024125
0.436,-0.06317944586289544
0.44,-0.020890797915907953
0.444,0.06900344681160661
0.448,-0.036286989903138105
0.452,-0.0008024175080030741
0.456,-0.06316642115491262
0.46,0.10309036694513199
0.464,-0.05785389174762806
0.468,0.03516072802816606
0.472,-0.09265924121606603
0.476,0.07449950783869586
0.48,-0.028512221897167362
0.484,0.0030799816326262746
0.488,-0.07012437133296105
0.492,0.0855376113953353
0.496,-0.03497896217715244
0.5,-0.006300674497305972
0.504,-0.03140591297487496
0.508,0.09157179868584658
0.512,-0.07131039463295469
0.516,0.021238048426110292
0.52,-0.08434393400868163
0.524,0.07623736333647074
0.528,-0.023138089153015743
0.532,0.008618884265310248
0.536,-0.059853145995786
0.54,0.03701694612670016
0.544,0.006649606291405051
0.548,0.010397397366922287
0.552,-0.05121822548001779
0.556,-0.006592226405414451
0.56,0.04190091101709851
0.564,-0.016168520905193693
0.568,-0.023690198589904576
0.572,-0.0261303018185231
0.576,0.05590897748006012
0.58,-0.009604790937799253
0.584,-0.0040133721807659095
0.588,-0.06254127539381109
0.592,0.06275374964734423
0.596,-0.02787461464874455
0.6,0.008621886892054292
0.604,-0.06173219384821622
0.608,0.053894328212235526
0.612,-0.015490810918780353
0.616,-0.004865786587135999
0.62,-0.043819252018699226
0.624,0.03989328891256435
0.628,-0.008945563821222908
0.632,-0.004139762677130478
0.636,-0.03323351877743179
0.64,0.03406193647001354
0.644,-0.007088593038338541
0.648,-0.00886694259518936
0.652,-0.02686876435973053
0.656,0.034619651515276115
0.66,-0.0006441284768526102
0.664,-0.02687064769915149
0.668,-0.01083199110464814
0.672,0.01999153627334407
0.676,-0.004691701525908304
0.68,-0.03860445247656704
0.684,0.030773613383459075
0.688,0.0081817371890224
0.692,0.005424455486935814
0.696,-0.03538858214803581
0.7,0.0238832230389373
0.704,0.01054885676999033
0.708,0.008263534781477816
0.712,-0.031522159631997615
0.716,0.022993160484548546
0.72,0.010365614163214916
0.724,0.0027419064999319475
0.728,-0.03038302742280655
0.732,0.04292753034130041
0.736,-0.008139719881161203
0.74,0.016609116188482993
0.744,-0.05298230092034929
0.748,0.05325391363682656
0.752,-0.006174115671796465
0.756,0.011642440735530927
0.76,-0.03545703422463965
0.764,0.04713674221854215
0.768,-0.015670129279166275
0.772,0.018051481896096733
0.776,-0.02720232539903595
0.78,0.037682910548564104
0.784,-0.010771968935437425
0.788,0.02321369360352773
0.792,-0.033080812154587025
0.796,0.03791751886069799
0.8,-0.022361709215496756
0.804,0.01690202670543179
0.808,-0.02960198937297819
0.812,0.05644955918882121
0.816,-0.034003421055011876
0.82,0.02748548429222509
0.824,-0.02733326708846839
0.828,0.03958147515558673
0.832,-0.034261107990169785
0.836,0.014505763800583472
0.84,-0.017977731071229602
0.844,0.04000326645298562
0.848,-0.03363847479274097
0.852,0.020686921737238538
0.856,-0.018290222228526307
0.86,0.03416854087651587
0.864,-0.041863501505457604
0.868,0.022134202358295683
0.872,-0.015702984855073706
0.876,0.01657910419176784
0.88,-0.014367387349849787
0.884,0.012849542479043324
0.888,-0.012938360679123977
0.892,0.003764528861633427
0.896,-0.009518791990170788
0.9,0.010984062767668626
0.904,-0.004564005471646799
0.908,0.0023854483965505303
0.912,-0.004884564650900237
0.916,0.008806812333712562
0.92,-0.004370293714413558
0.924,-0.0015783655360239706
0.928,-0.009002218787017492
0.932,0.0065239789282139134
0.936,0.0044775421071393965
0.94,0.0003183157426016154
0.944,0.000318279020596187
0.948,-0.0038225801586082232
0.952,0.008256121423778693
0.956,0.0018061645372824463
0.96,-0.005358477366570619
0.964,0.009862553025740139
0.968,-0.0034675748271165547
0.972,0.0025564561426962887
0.976,-0.005265059434094881
0.98,-0.0001382659435584732
0.984,0.001033615563055607
0.988,-0.0002204429931775229
0.992,-0.002525564461020159
0.996,-0.0009956095376857457
1.0,0.005746720026679168
1.004,-0.0030086823192101188
1.008,0.0020433443068561745
1.012,-0.00388322020278991
1.016,0.0028087012766459933
1.02,-0.002838378543256598
1.024,-0.002229785797810352
1.028,0.0029908443030131045
1.032,-3.434655380024847e-05
1.036,0.0004721295834332183
1.04,-0.0012786002382868574
1.044,0.00046535948193826223
1.048,-0.0006143190154519291
1.052,0.003124170499170671
1.056,-0.0023907972399347006
1.06,0.0030225374196071984
1.064,-0.002933045618677605
1.068,-0.0014061097410077673
1.072,-0.0019540006515865035
1.076,0.0019778142452241093
1.08,0.0003480590580947795
1.084,-0.0012830833211542024
1.088,-0.00020195522302400175
1.092,0.0008078369787847528
1.096,-0.0022054663778811046
1.1,0.0009052832530985802
1.104,-0.0005706681651656033
1.108,0.0009070801916893084
1.112,0.00041035494017385704
1.116,-0.0007293392938389897
1.12,-0.0027093551527564556
1.124,0.0015049012036025238
1.128,-0.0003128913535622176
1.132,0.0014622409712090065
1.136,-0.0019139079919546684
1.14,-0.00024385198225037878
1.144,0.0017499361879730038
1.148,-0.0007671710217000307
1.152,-0.00046234940128185093
1.156,-0.0017004537613469527
1.16,0.0006617672706801308
1.164,-0.0005386403806072149
1.168,-0.00044088642896772986
1.172,0.0003753658253579383
1.176,0.00044093503192415987
1.18,-0.0001973437108615625
1.184,-0.0006023085918256825
1.188,-0.0015424479558034973
1.192,-0.0016055076058795795
1.196,0.001176034701849767
1.2,-0.0010480133513620046
1.204,-0.0005210008349136589
1.208,-0.0010030415592164556
1.212,0.00019256070414805536
1.216,0.0021928022577556807
1.22,-0.0010213571252642233
1.224,-0.0005533524381095668
1.228,-0.001764264601998804
1.232,0.001171449118779799
1.236,0.00018764349947873743
1.24,-0.0005588080175371554
1.244,0.0012842047043794972
1.248,-0.0004975446428421813
1.252,0.0002895900325354024
1.256,-0.0001994469638224149
1.26,-0.00014010702378412904
1.264,-0.00032617646841812787
1.268,-0.0006933543886346
1.272,-0.00012067160299613448
1.276,0.0007776888130139337
1.28,-4.1430305057195496e-05
1.284,-0.001047407224682666
1.288,-0.0004284088350843545
1.292,0.00023642514788855303
1.296,-0.000225483400755098
1.3,-0.0010448049990125924
1.304,-6.726162718590422e-05
1.308,0.0001377834325532353
1.312,0.0005979988239707844
1.316,0.00021940348412922525
1.32,-0.0002877039801759629
1.324,0.0002434438983096709
1.328,-9.457749759283706e-05
1.332,-0.000493951920145866
1.336,-0.0006932909851499971
1.34,-0.0013965887452335002
1.344,-0.0005340348288361779
1.348,-0.00033992268095836233
1.352,-0.0005051201126889383
1.356,-0.00015818911653369693
1.36,-0.0004889823707747055
1.364,-0.0009849742038383583
1.368,-0.00018535558594424148
1.372,9.450177292143529e-06
1.376,-0.0006172301186845329
1.38,-0.0005917552060697752
1.384,0.00040888411390106234
1.388,0.00023387747399833923
1.392,0.00020951786946387182
1.396,-0.00029530858997676486
1.4,-0.000351707781802914
1.404,0.00022022059038997687
1.408,-0.0005359582224511596
1.412,0.0007337779625831004
1.416,0.00023917383177504795
1.42,-3.858282054494503e-05
1.424,0.00037390243298380925
1.428,0.0002445473023985163
1.432,-1.1738290416393528e-05
1.436,-0.0002765698106110586
1.44,-2.297244169138883e-08
1.444,0.0007074566290053299
1.448,0.0001385825740984559
1.452,-0.0004871699890619908
1.456,-0.0006877229293919603
1.46,0.0001329341401587102
1.464,-0.0003067303642594172
1.468,4.53970443349807e-06
1.472,-1.86069641773524e-05
1.476,-0.000521004647567219
1.48,-0.0008255753235140097
1.484,-6.790559334409911e-05
1.488,0.0001543085397132959
1.492,-0.000498879698249457
1.496,0.00022745741100227703
1.5,0.0007065341043777253
1.504,-0.0003722979081186057
1.508,-0.0002250180975775933
1.512,-0.00016305358735697374
1.516,8.18417588518169e-05
1.52,7.15393413423212e-05
1.524,-0.00012584876255561936
1.528,-0.00047939316930463145
1.532,-0.0006615611524621865
1.536,-0.00030549830666531664
1.54,-9.932568234612996e-05
1.544,-8.563740228814336e-05
1.548,-0.00014797645880419735
1.552,1.800672715069245e-05
1.556,1.4450119087352302e-05
1.56,0.00010464622072795181
1.564,0.0001850758025313541
1.568,5.583696939692698e-05
1.572,-0.00016479680171199569
1.576,-0.00028162028242106495
1.58,3.422482361936806e-05
1.584,1.0113143095605655e-05
1.588,-0.00010854484472063645
1.592,-0.00012749843447327114
1.596,-0.00026519446494511947
1.6,-0.00010890112603471963
1.604,-1.4565806827480754e-05
1.608,-0.00015715915349749402
1.612,-5.98453250090782e-05
1.616,-3.725344243004724e-05
1.62,-0.00015212956651073056
1.624,-4.006349013833885e-05
1.628,-0.00018844021038468407
1.632,0.00020333537639414826
1.636,-0.00023289502163559227
1.64,-0.00012017209958271321
1.644,0.00012833725954244137
1.648,-0.0001130309534746525
1.652,-0.0002092251308596354
1.656,-0.00011464572989460523
1.66,4.413807302712016e-05
1.664,0.00021981601937756236
1.668,0.00011060339168089346
1.672,0.00018222250423196595
1.676,0.00012575436044378932
1.68,-0.00011770930200384905
1.684,-8.282416478209906e-05
1.688,0.00012105399490669343
1.692,5.762186593842095e-05
1.696,-1.6678150651928787e-05
1.7,-0.00022476326645598337
1.704,-7.488567576733913e-05
1.708,-2.566594090670305e-06
1.712,6.668050589075026e-05
1.716,0.00017472974068334776
1.72,9.293279938330563e-06
1.724,0.00023487871351762532
1.728,-2.9613871767393895e-05
1.732,8.836094422710068e-05
1.736,8.425324837642658e-05
1.74,-0.00019702178254795325
1.744,-0.00016340904949898577
1.748,-5.2199742639829446e-05
1.752,7.880480669693501e-05
1.756,-3.635104426986519e-05
1.76,0.00011453828129553699
1.764,0.00010333277710181891
1.768,-0.0002352898469729508
1.772,0.00011210926922926375
1.776,8.819125426200006e-06
1.78,-4.054269466941013e-05
1.784,6.013094910980318e-06
1.788,-7.927851937122281e-05
1.792,3.2207434190151266e-05
1.796,-2.0055750282383775e-05
1.8,-1.9153431528442667e-05
1.804,-3.7388923542369555e-05
1.808,-1.7863456519538126e-05
1.812,-2.162977535375604e-05
1.816,-4.4128538665951784e-05
1.82,4.172695778392113e-05
1.824,5.4050392520778656e-05
1.828,2.0054072217547817e-05
1.832,0.00014807055147855188
1.836,8.59551511210865e-06
1.84,-2.3738850858404826e-05
1.844,-2.56514937482624e-06
1.848,2.9264198338982102e-05
1.852,5.347425617960262e-05
1.856,7.254214192888672e-06
1.86,-0.0001197666716249639
1.864,2.938851882908373e-05
1.868,1.7969667788751136e-05
1.872,-6.0926459700636e-05
1.876,-9.12309935831427e-05
1.88,-0.00013485452945628028
1.884,-2.9038146810038947e-05
1.888,7.160476332670837e-05
1.892,0.0001142950240313719
1.896,9.535461985154823e-05
1.9,-8.591483248760265e-06
1.904,5.985888467279013e-05
1.908,6.608757289720485e-05
1.912,4.136296402892141e-05
1.916,-4.089201378205879e-05
1.92,-1.9906509110108304e-05
1.924,5.465733521683055e-06
1.928,0.00019845154824100908
1.932,6.244440541563161e-05
1.936,-0.00019805858814993414
1.94,-0.0001356471158379099
1.944,9.089234226493248e-05
1.948,0.0001662593795074799
1.952,7.460291263624232e-05
1.956,9.423020552667592e-05
1.96,0.00010740432414316297
1.964,7.94147668333494e-05
1.968,0.00015073799921190185
1.972,3.522968316226907e-05
1.976,-5.4029573676734e-06
1.98,2.2575748080410338e-05
1.984,-3.647465066372485e-05
1.988,6.186367489146333e-05
1.992,-1.6281257421799208e-05
