filename,sample_rate_hz,segment_count,mean_segment_duration_sec,median_segment_duration_sec,segment_coverage_ratio,raw_duration_sec,raw_spectral_centroid_hz,raw_spectral_bandwidth_hz,raw_spectral_rolloff_hz,raw_rms_energy,raw_dominant_frequency_hz,raw_snore_index,raw_type,snore_only_duration_sec,snore_only_spectral_centroid_hz,snore_only_spectral_bandwidth_hz,snore_only_spectral_rolloff_hz,snore_only_rms_energy,snore_only_dominant_frequency_hz,snore_only_snore_index,snore_only_type,delta_snore_index,delta_dominant_frequency_hz,delta_spectral_centroid_hz,delta_rms_energy,type_changed
audiopapkin-male-snoring-297875.mp3,8000,12,1.7653333333333334,1.696,0.7650449848545723,27.689875,1336.5005169291583,816.8829172041746,2241.7003464203235,0.05443868041038513,67.85873897950063,0.22275304106590768,mid,21.184,1358.953689358414,835.6561707670422,2288.32125376506,0.06935691833496094,67.73980362537763,0.22348998605557047,mid,0.0007369449896627855,-0.11893535412299627,22.4531724292558,0.014918237924575806,False
freesound_community-023789_man-snoring-74637.mp3,8000,23,1.0323478260869567,1.344,0.424971363115693,55.872,710.5889901704769,836.245051279416,1481.4162614416475,0.005768400616943836,266.0008591065292,0.526595525422778,high_low_freq,23.744,710.5589197515235,794.1527568266735,1334.3308971774193,0.01115832757204771,123.35747978436657,0.5344316299541932,high_low_freq,0.007836104531415256,-142.64337932216264,-0.030070418953414446,0.005389926955103874,False
freesound_community-031991_man-snoring-69800.mp3,8000,20,0.6559999999999999,0.512,0.385519511048425,34.032,2088.1128170253364,1168.662643779992,3435.025552161654,0.009889215230941772,3653.0618241654906,0.047800678412245584,broadband_high_freq,13.12,2385.9567383839594,1143.2891161885373,3593.4466019417478,0.020716143772006035,3662.5,0.04664870146942643,broadband_high_freq,-0.001151976942819155,9.438175834509366,297.843921358623,0.010826928541064262,False
freesound_community-big-snore-78224.mp3,8000,14,0.7771428571428574,0.768,0.3688635747219962,29.496,1184.8304726991305,876.6207210885244,2172.451193058568,0.004750069230794907,738.5408190941143,0.026572550343909904,broadband_high_freq,10.88,1303.8897716780045,816.3051022607231,2239.1036184210525,0.011964031495153904,744.1176470588234,0.02635088342783916,broadband_high_freq,-0.00022166691607074587,5.576827964709082,119.05929897887404,0.007213962264358997,False
freesound_community-male-snore-1-29322 (1).mp3,8000,12,1.2853333333333332,1.28,0.47047340165934604,32.784,1145.6353764645426,886.5364739357946,2181.5378289473683,0.00945398211479187,63.72010736944851,0.2291201478302167,mid,15.424,1231.5522166630512,878.5700185818824,2322.249483471074,0.019389258697628975,63.407676348547724,0.22985328410784756,mid,0.0007331362776308581,-0.3124310209007888,85.91684019850868,0.009935276582837105,False
freesound_community-male-snore-1-29322.mp3,8000,12,1.2853333333333332,1.28,0.47047340165934604,32.784,1145.6353764645426,886.5364739357946,2181.5378289473683,0.00945398211479187,63.72010736944851,0.2291201478302167,mid,15.424,1231.5522166630512,878.5700185818824,2322.249483471074,0.019389258697628975,63.407676348547724,0.22985328410784756,mid,0.0007331362776308581,-0.3124310209007888,85.91684019850868,0.009935276582837105,False
freesound_community-male-snore-63981.mp3,8000,22,1.1869090909090911,1.312,0.4413793103448276,59.16,764.6485838710618,892.4910013574666,1627.474662162162,0.024422669783234596,36.84922244759973,0.19321227206905986,broadband_high_freq,26.112,847.5305913569722,944.5982327438743,1811.9365067237163,0.051823314279317856,35.232843137254896,0.1934467811076657,broadband_high_freq,0.0002345090386058346,-1.6163793103448327,82.88200748591044,0.02740064449608326,False
freesound_community-man-snoring-30944.mp3,8000,16,0.672,0.64,0.3163841807909605,33.984,1594.3508851527279,919.6295057660941,2670.7148731203006,0.0010167076252400875,1774.2172787193972,0.015109081704917296,broadband_high_freq,10.752,1840.7991229899349,903.1623859915021,2968.056582840237,0.002499628346413374,1681.082589285714,0.014960672351258857,broadband_high_freq,-0.00014840935365843973,-93.1346894336832,246.448237837207,0.0014829207211732864,False
freesound_community-snore-69841.mp3,8000,16,1.3199999999999998,1.376,0.3312006021829131,63.768,830.2334370872035,1002.1387344812107,1997.2691512036108,0.004615896847099066,82.25128591142892,0.7517093433109059,high_low_freq,21.12,802.347967742465,956.7804308085273,1866.0309667673716,0.011709179729223251,82.29166666666667,0.762093734123502,high_low_freq,0.010384390812596123,0.040380755237748645,-27.885469344738453,0.0070932828821241856,False
freesound_community-snoring-42710.mp3,8000,1,2.752,2.752,0.7397849462365591,3.72,818.7672395351331,1013.3260662548851,1945.8421610169491,0.0034016272984445095,68.81720430107526,0.0785675235215325,broadband_high_freq,2.752,833.9427735951343,1008.3848215163765,1964.3998579545455,0.004312426317483187,66.13372093023256,0.0781780373184991,broadband_high_freq,-0.000389486203033404,-2.6834833708427084,15.175534060001269,0.0009107990190386772,False
freesound_community-snoring-50041.mp3,8000,333,0.4749069069069069,0.064,0.7257774351066564,217.896,708.5151872175081,857.8567106263482,1515.9060664464023,0.03464511036872864,5.86059404486544,0.39551442443485146,mid,158.144,727.8044821116864,832.0299405043111,1471.9894063511326,0.04358121380209923,5.9439498178874945,0.40218206446952853,mid,0.006667640034677069,0.08335577302205444,19.289294894178283,0.00893610343337059,False
freesound_community-snoring-61155.mp3,8000,3,0.5973333333333333,0.576,0.0907249898744431,19.752,810.1172894190438,950.1304708110284,1951.4815938511326,0.009082017466425896,8.0498177399757,0.0810996753595647,broadband_high_freq,1.792,651.6741758176937,832.5409136117491,1617.052801724138,0.047092147171497345,7.8125,0.052504596806466394,broadband_high_freq,-0.0285950785530983,-0.23731773997569938,-158.4431136013501,0.03801012970507145,False
freesound_community-snoring-6773.mp3,8000,213,1.083793427230047,1.344,0.3833818273612606,602.136,917.300505467616,1017.0383475888414,2072.9902885535125,0.02317672409117222,120.0310228918384,0.7550156853850787,high_low_freq,230.848,600.1126928501981,821.7229004180253,1158.294068736142,0.04910483956336975,94.9455919046299,0.7605622686899122,high_low_freq,0.005546583304833486,-25.08543098720851,-317.1878126174179,0.025928115472197533,False
freesound_community-snoring-67961.mp3,8000,1,62.464,62.464,0.9791823426134939,63.792,1256.5213645398524,1010.5894649872806,2477.9142113841526,0.012098763138055801,101.2979683972912,0.35354681597850235,mid,62.464,1258.0934970980159,1011.174937546788,2481.3403595189357,0.012302863411605358,101.30635245901638,0.35343067394675426,mid,-0.0001161420317480899,0.008384061725180914,1.5721325581635028,0.00020410027354955673,False
