frequency_hz,amplitude,power
0.0,305.5749,93376.016
0.12437810945273634,86.11316,7415.476
0.24875621890547267,183.7937,33780.125
0.37313432835820903,34.718506,1205.3746
0.49751243781094534,56.26141,3165.3462
0.6218905472636816,25.47026,648.7342
0.7462686567164181,43.75252,1914.2831
0.8706467661691544,8.833797,78.03598
0.9950248756218907,21.950361,481.81836
1.119402985074627,12.258455,150.26973
1.2437810945273633,15.31965,234.69167
1.3681592039800996,14.366967,206.40974
1.4925373134328361,13.448334,180.85768
1.6169154228855724,34.853916,1214.7955
1.7412935323383087,18.893322,356.9576
1.865671641791045,20.265968,410.70947
1.9900497512437814,14.65988,214.91208
2.1144278606965177,10.32061,106.51499
2.238805970149254,11.57444,133.96767
2.3631840796019903,11.201691,125.477875
2.4875621890547266,9.961527,99.23202
2.611940298507463,7.289054,53.130306
2.736318407960199,23.998478,575.92694
2.8606965174129355,15.738791,247.70956
2.9850746268656723,5.2138333,27.184057
3.1094527363184086,13.045219,170.17775
3.233830845771145,14.603244,213.25473
3.358208955223881,11.101029,123.23286
3.4825870646766175,14.094475,198.65422
3.606965174129354,13.9854355,195.5924
3.73134328358209,1.5701044,2.4652276
3.8557213930348264,11.515808,132.61383
3.9800995024875627,12.917157,166.85295
4.1044776119402995,9.337432,87.18764
4.228855721393035,10.006553,100.131096
4.353233830845772,13.876892,192.56813
4.477611940298508,4.1545963,17.26067
4.601990049751245,8.726228,76.14705
4.726368159203981,8.766858,76.8578
4.850746268656717,3.6551576,13.360177
4.975124378109453,4.1494536,17.217966
5.09950248756219,7.4265733,55.15399
5.223880597014926,3.5448735,12.566128
5.3482587064676625,10.4817095,109.866234
5.472636815920398,6.1394243,37.69253
5.597014925373135,4.998704,24.987041
5.721393034825871,2.3827415,5.677457
5.845771144278608,6.047239,36.569096
5.9701492537313445,5.424027,29.420069
6.09452736318408,7.3241053,53.642517
6.218905472636817,8.8661,78.607735
6.343283582089553,7.990289,63.844723
6.46766169154229,12.353694,152.61375
6.592039800995026,11.3001995,127.69451
6.716417910447762,5.7672415,33.261074
6.840796019900498,5.2818317,27.897747
6.965174129353235,7.219654,52.123405
7.089552238805971,2.8672826,8.22131
7.213930348258708,14.246046,202.94983
7.3383084577114435,7.2871537,53.102608
7.46268656716418,11.074257,122.63917
7.587064676616916,5.411254,29.28167
7.711442786069653,10.349023,107.10227
7.835820895522389,5.93723,35.2507
7.9601990049751254,6.5436034,42.818745
8.084577114427862,3.7849598,14.325921
8.208955223880599,3.278446,10.748208
8.333333333333334,4.5810905,20.98639
8.45771144278607,9.6679735,93.46971
8.582089552238807,6.480948,42.002686
8.706467661691544,8.725599,76.136086
8.83084577114428,3.8982916,15.196677
8.955223880597016,5.4086323,29.253304
9.079601990049753,4.1602135,17.307377
9.20398009950249,6.5035834,42.296597
9.328358208955224,0.3524788,0.12424131
9.452736318407961,6.32069,39.951122
9.577114427860698,5.154513,26.569002
9.701492537313435,1.8551886,3.4417248
9.82587064676617,8.290557,68.73334
9.950248756218906,3.8592496,14.893807
10.074626865671643,5.087438,25.882027
10.19900497512438,2.9594154,8.75814
10.323383084577117,1.6061733,2.5797925
10.447761194029852,2.9734433,8.841365
10.572139303482588,1.545604,2.3888917
10.696517412935325,2.9749022,8.850043
10.820895522388062,2.951635,8.712149
10.945273631840797,1.7446537,3.0438166
11.069651741293534,6.709117,45.01225
11.19402985074627,3.2169538,10.348791
11.318407960199007,5.350047,28.623005
11.442786069651742,3.0717633,9.43573
11.567164179104479,4.1555333,17.268457
11.691542288557216,5.211456,27.159271
11.815920398009952,6.911801,47.77299
11.940298507462689,6.188829,38.301605
12.064676616915424,2.38383,5.682646
12.18905472636816,4.1307936,17.063456
12.313432835820898,4.554928,20.747368
12.437810945273634,1.0097517,1.0195985
12.56218905472637,8.033112,64.53088
12.686567164179106,5.4654016,29.870615
12.810945273631843,6.942287,48.195347
12.93532338308458,9.472315,89.72475
13.059701492537314,3.9868708,15.895139
13.184079601990051,1.4548719,2.1166523
13.308457711442788,5.2514153,27.577362
13.432835820895525,9.44159,89.14363
13.55721393034826,5.351026,28.63348
13.681592039800996,7.779903,60.52689
13.805970149253733,3.9781656,15.825802
13.93034825870647,3.8007643,14.445809
14.054726368159207,1.1157095,1.2448078
14.179104477611942,3.2562215,10.602979
14.303482587064678,1.9840678,3.936525
14.427860696517415,5.581014,31.147718
14.552238805970152,1.2014135,1.4433944
14.676616915422887,3.684144,13.572917
14.800995024875624,1.086889,1.1813278
14.92537313432836,3.1954446,10.210866
15.049751243781097,2.8833756,8.313855
15.174129353233832,3.018519,9.111457
15.298507462686569,5.419068,29.366297
15.422885572139306,2.2161005,4.9111013
15.547263681592042,5.673969,32.19392
15.671641791044777,2.5301259,6.401537
15.796019900497514,4.2734976,18.262781
15.920398009950251,4.7833,22.87996
16.044776119402986,4.8226347,23.257805
16.169154228855724,2.0324364,4.1307974
16.29353233830846,6.4725895,41.894413
16.417910447761198,3.4521632,11.917431
16.542288557213933,6.5211277,42.52511
16.666666666666668,1.374551,1.8893906
16.791044776119406,3.687174,13.595253
16.91542288557214,2.2751708,5.176402
17.039800995024876,3.4655378,12.009953
17.164179104477615,8.32755,69.34809
17.28855721393035,8.126214,66.035355
17.41293532338309,7.421856,55.083946
17.537313432835823,10.959052,120.10082
17.66169154228856,4.4237323,19.569407
17.786069651741297,5.2309775,27.363127
